Predicting gender 40 2 False relu 10 False 150 False 272 ConnType.STRUCT ConvStrategy.ENTIRE mean 8
Going for ./pytorch_data/hcp_4split_gender_struct_272_10_subject_norm_False
For  {'dropout': 0, 'lr': 0.005, 'weight_decay': 0.05}
2-0-Epoch: 029, Loss: 0.6909684 / 0.6908826, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 030, Loss: 0.6911401 / 0.6911097, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 031, Loss: 0.6911009 / 0.6911821, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 032, Loss: 0.6912306 / 0.6912540, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 033, Loss: 0.6912376 / 0.6912088, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 034, Loss: 0.6914801 / 0.6914681, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 035, Loss: 0.6912979 / 0.6911595, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 036, Loss: 0.6911754 / 0.6912400, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 037, Loss: 0.6915988 / 0.6914257, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 038, Loss: 0.6912598 / 0.6910259, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 039, Loss: 0.6913028 / 0.6913729, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
For  {'dropout': 0, 'lr': 0.005, 'weight_decay': 0}
2-0-Epoch: 001, Loss: 0.7627394 / 0.6895269, Auc: 0.5712 / 0.5593, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 002, Loss: 0.6850032 / 0.6872534, Auc: 0.5854 / 0.5568, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 003, Loss: 0.6848165 / 0.6855622, Auc: 0.5838 / 0.5628, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 004, Loss: 0.6841384 / 0.6860584, Auc: 0.5868 / 0.5638, Acc: 0.5412 / 0.5426, F1: 0.0000 / 0.0064 
2-0-Epoch: 005, Loss: 0.6842592 / 0.6861596, Auc: 0.5852 / 0.5752, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 006, Loss: 0.6836132 / 0.6874739, Auc: 0.5852 / 0.5798, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 007, Loss: 0.6840251 / 0.6843698, Auc: 0.5883 / 0.5829, Acc: 0.5416 / 0.5412, F1: 0.0016 / 0.0000 
2-0-Epoch: 008, Loss: 0.6839871 / 0.6833045, Auc: 0.5901 / 0.5842, Acc: 0.5427 / 0.5426, F1: 0.0127 / 0.0189 
2-0-Epoch: 009, Loss: 0.6842646 / 0.6833794, Auc: 0.5914 / 0.5853, Acc: 0.5431 / 0.5412, F1: 0.0143 / 0.0127 
2-0-Epoch: 010, Loss: 0.6835367 / 0.6833416, Auc: 0.5870 / 0.5817, Acc: 0.5504 / 0.5603, F1: 0.1573 / 0.1808 
2-0-Epoch: 011, Loss: 0.6861140 / 0.6869467, Auc: 0.5864 / 0.5811, Acc: 0.5736 / 0.5706, F1: 0.4956 / 0.5051 
2-0-Epoch: 012, Loss: 0.6836076 / 0.6828512, Auc: 0.5877 / 0.5823, Acc: 0.5545 / 0.5618, F1: 0.1868 / 0.1946 
2-0-Epoch: 013, Loss: 0.6843141 / 0.6824820, Auc: 0.5901 / 0.5841, Acc: 0.5468 / 0.5515, F1: 0.1034 / 0.1261 
2-0-Epoch: 014, Loss: 0.6819468 / 0.6823155, Auc: 0.5909 / 0.5849, Acc: 0.5471 / 0.5574, F1: 0.1126 / 0.1473 
2-0-Epoch: 015, Loss: 0.6811599 / 0.6821201, Auc: 0.5900 / 0.5840, Acc: 0.5541 / 0.5691, F1: 0.1953 / 0.2187 
2-0-Epoch: 016, Loss: 0.6831222 / 0.6866324, Auc: 0.5863 / 0.5812, Acc: 0.5641 / 0.5500, F1: 0.5418 / 0.5364 
2-0-Epoch: 017, Loss: 0.6831482 / 0.6816943, Auc: 0.5924 / 0.5861, Acc: 0.5567 / 0.5779, F1: 0.2161 / 0.2584 
2-0-Epoch: 018, Loss: 0.6814927 / 0.6823770, Auc: 0.5942 / 0.5880, Acc: 0.5486 / 0.5559, F1: 0.1038 / 0.1371 
2-0-Epoch: 019, Loss: 0.6807292 / 0.6814788, Auc: 0.5938 / 0.5875, Acc: 0.5567 / 0.5750, F1: 0.2016 / 0.2293 
2-0-Epoch: 020, Loss: 0.6803744 / 0.6809879, Auc: 0.5968 / 0.5902, Acc: 0.5611 / 0.5868, F1: 0.2494 / 0.3130 
2-0-Epoch: 021, Loss: 0.6802446 / 0.6808263, Auc: 0.5965 / 0.5898, Acc: 0.5600 / 0.5868, F1: 0.2393 / 0.2993 
2-0-Epoch: 022, Loss: 0.6805638 / 0.6813524, Auc: 0.5999 / 0.5942, Acc: 0.5497 / 0.5559, F1: 0.0961 / 0.1322 
2-0-Epoch: 023, Loss: 0.6810591 / 0.6809263, Auc: 0.5972 / 0.5907, Acc: 0.5736 / 0.5926, F1: 0.3623 / 0.4119 
2-0-Epoch: 024, Loss: 0.6801911 / 0.6803938, Auc: 0.5986 / 0.5925, Acc: 0.5615 / 0.5868, F1: 0.2351 / 0.2850 
2-0-Epoch: 025, Loss: 0.6798026 / 0.6791211, Auc: 0.6062 / 0.5989, Acc: 0.5843 / 0.5809, F1: 0.4538 / 0.4530 
2-0-Epoch: 026, Loss: 0.6797805 / 0.6798581, Auc: 0.6064 / 0.5990, Acc: 0.5670 / 0.5882, F1: 0.2170 / 0.2746 
2-0-Epoch: 027, Loss: 0.6759035 / 0.6818882, Auc: 0.6092 / 0.6022, Acc: 0.5659 / 0.5853, F1: 0.2103 / 0.2540 
2-0-Epoch: 028, Loss: 0.6745729 / 0.6766633, Auc: 0.6141 / 0.6053, Acc: 0.5917 / 0.5985, F1: 0.4110 / 0.4324 
2-0-Epoch: 029, Loss: 0.6749639 / 0.6742892, Auc: 0.6187 / 0.6086, Acc: 0.5887 / 0.5941, F1: 0.5068 / 0.5106 
2-0-Epoch: 030, Loss: 0.6715281 / 0.6719566, Auc: 0.6246 / 0.6150, Acc: 0.5876 / 0.5897, F1: 0.5226 / 0.5263 
2-0-Epoch: 031, Loss: 0.6787501 / 0.6755840, Auc: 0.6299 / 0.6144, Acc: 0.5924 / 0.6029, F1: 0.3399 / 0.3478 
2-0-Epoch: 032, Loss: 0.6699330 / 0.6722656, Auc: 0.6338 / 0.6166, Acc: 0.5957 / 0.5809, F1: 0.5583 / 0.5425 
2-0-Epoch: 033, Loss: 0.6669158 / 0.7151516, Auc: 0.6409 / 0.6166, Acc: 0.5063 / 0.4779, F1: 0.6319 / 0.6187 
2-0-Epoch: 034, Loss: 0.6639975 / 0.7336890, Auc: 0.5946 / 0.5769, Acc: 0.4989 / 0.4868, F1: 0.6243 / 0.6235 
2-0-Epoch: 035, Loss: 0.6611552 / 0.9144458, Auc: 0.6465 / 0.6243, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 036, Loss: 0.6752229 / 0.7614667, Auc: 0.6354 / 0.6066, Acc: 0.5412 / 0.5412, F1: 0.0016 / 0.0000 
2-0-Epoch: 037, Loss: 0.6747668 / 0.6745849, Auc: 0.6406 / 0.6207, Acc: 0.5906 / 0.5912, F1: 0.3482 / 0.3443 
2-0-Epoch: 038, Loss: 0.6596277 / 0.7098317, Auc: 0.6056 / 0.5842, Acc: 0.5589 / 0.5647, F1: 0.1356 / 0.1543 
2-0-Epoch: 039, Loss: 0.6746899 / 0.7205772, Auc: 0.6228 / 0.6128, Acc: 0.5501 / 0.5471, F1: 0.0571 / 0.0552 
For  {'dropout': 0, 'lr': 0.05, 'weight_decay': 0.05}
2-0-Epoch: 001, Loss: 1.3933880 / 0.6945903, Auc: 0.5015 / 0.4880, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 002, Loss: 0.6963469 / 0.6908507, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 003, Loss: 0.6893341 / 0.6909535, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 004, Loss: 0.6898881 / 0.6922397, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 005, Loss: 0.6903511 / 0.6899497, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 006, Loss: 0.6901618 / 0.6905953, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 007, Loss: 0.6913465 / 0.6901728, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 008, Loss: 0.6903629 / 0.6905114, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 009, Loss: 0.6901790 / 0.6897598, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 010, Loss: 0.6901089 / 0.6900036, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 011, Loss: 0.6902576 / 0.6897828, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 012, Loss: 0.6901901 / 0.6897912, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 013, Loss: 0.6899475 / 0.6898756, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 014, Loss: 0.6901425 / 0.6899559, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 015, Loss: 0.6900674 / 0.6898728, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 016, Loss: 0.6902528 / 0.6899839, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 017, Loss: 0.6905100 / 0.6900535, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 018, Loss: 0.6902065 / 0.6897539, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 019, Loss: 0.6899806 / 0.6898667, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 020, Loss: 0.6900723 / 0.6898790, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 021, Loss: 0.6898907 / 0.6897559, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 022, Loss: 0.6899140 / 0.6898253, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 023, Loss: 0.6902060 / 0.6901144, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 024, Loss: 0.6900217 / 0.6897529, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 025, Loss: 0.6901097 / 0.6897667, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 026, Loss: 0.6897825 / 0.6899296, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 027, Loss: 0.6906322 / 0.6900891, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 028, Loss: 0.6900811 / 0.6897523, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
