Subjects,fs_l_bankssts_myel,fs_l_caudalanteriorcingulate_myel,fs_l_caudalmiddlefrontal_myel,fs_l_cuneus_myel,fs_l_entorhinal_myel,fs_l_fusiform_myel,fs_l_inferiorparietal_myel,fs_l_inferiortemporal_myel,fs_l_isthmuscingulate_myel,fs_l_lateraloccipital_myel,fs_l_lateralorbitofrontal_myel,fs_l_lingual_myel,fs_l_medialorbitofrontal_myel,fs_l_middletemporal_myel,fs_l_parahippocampal_myel,fs_l_paracentral_myel,fs_l_parsopercularis_myel,fs_l_parsorbitalis_myel,fs_l_parstriangularis_myel,fs_l_pericalcarine_myel,fs_l_postcentral_myel,fs_l_posteriorcingulate_myel,fs_l_precentral_myel,fs_l_precuneus_myel,fs_l_rostralanteriorcingulate_myel,fs_l_rostralmiddlefrontal_myel,fs_l_superiorfrontal_myel,fs_l_superiorparietal_myel,fs_l_superiortemporal_myel,fs_l_supramarginal_myel,fs_l_frontalpole_myel,fs_l_temporalpole_myel,fs_l_transversetemporal_myel,fs_l_insula_myel,fs_r_bankssts_myel,fs_r_caudalanteriorcingulate_myel,fs_r_caudalmiddlefrontal_myel,fs_r_cuneus_myel,fs_r_entorhinal_myel,fs_r_fusiform_myel,fs_r_inferiorparietal_myel,fs_r_inferiortemporal_myel,fs_r_isthmuscingulate_myel,fs_r_lateraloccipital_myel,fs_r_lateralorbitofrontal_myel,fs_r_lingual_myel,fs_r_medialorbitofrontal_myel,fs_r_middletemporal_myel,fs_r_parahippocampal_myel,fs_r_paracentral_myel,fs_r_parsopercularis_myel,fs_r_parsorbitalis_myel,fs_r_parstriangularis_myel,fs_r_pericalcarine_myel,fs_r_postcentral_myel,fs_r_posteriorcingulate_myel,fs_r_precentral_myel,fs_r_precuneus_myel,fs_r_rostralanteriorcingulate_myel,fs_r_rostralmiddlefrontal_myel,fs_r_superiorfrontal_myel,fs_r_superiorparietal_myel,fs_r_superiortemporal_myel,fs_r_supramarginal_myel,fs_r_frontalpole_myel,fs_r_temporalpole_myel,fs_r_transversetemporal_myel,fs_r_insula_myel
816653,1.3346,0.8287,1.3075,1.5151,1.1702,1.3019,1.3051,1.2151,1.1926,1.4582,1.2391,1.4844,1.1575,1.2442,1.408,1.4364,1.2736,1.2006,1.2674,1.5458,1.4369,1.1019,1.4534,1.3383,0.9181,1.2285,1.2306,1.3557,1.3234,1.2822,1.1894,1.0399,1.6003,1.2335,1.4834,1.2864,1.228,1.3025,1.0705,1.3232,1.4077,1.3882,1.3243,1.4559,1.2515,1.285,1.2342,1.5093,1.1668,1.4096,1.1044,1.1724,1.1926,1.372,1.3766,1.321,1.2954,1.2917,1.1919,1.2073,1.3316,1.3383,0.2559,1.2199,1.2239,0.7639,0,0.3376
818859,1.3544,0.8226,1.2901,1.5278,1.1676,1.2853,1.3055,1.213,1.184,1.4586,1.2368,1.4843,1.1762,1.2369,1.4866,1.4503,1.2786,1.1938,1.291,1.5469,1.4353,1.1038,1.4573,1.3299,0.8919,1.227,1.2344,1.3545,1.3198,1.282,1.1188,1.0231,1.6969,1.2165,1.4309,1.2959,1.2254,1.3042,1.0725,1.3257,1.4104,1.3879,1.3249,1.4451,1.2244,1.2727,1.2176,1.4967,1.1605,1.4082,1.101,1.1759,1.1885,1.4051,1.3752,1.3029,1.2975,1.3048,1.2134,1.2073,1.3341,1.3345,0.2688,1.2147,1.2036,0.7842,0,0.386
820745,1.3355,0.8091,1.2866,1.5021,1.1908,1.2915,1.3044,1.2173,1.1967,1.4631,1.2456,1.48,1.1482,1.2382,1.379,1.4466,1.2683,1.2084,1.2895,1.5863,1.4339,1.0933,1.4602,1.3302,0.909,1.2297,1.2359,1.3546,1.3172,1.2801,1.1938,1.0752,1.749,1.2213,1.4713,1.2939,1.2336,1.3184,1.0826,1.3263,1.4073,1.39,1.3092,1.4562,1.2601,1.2832,1.2333,1.4802,1.1628,1.4075,1.1022,1.169,1.1891,1.3931,1.4004,1.3126,1.2942,1.2978,1.1818,1.204,1.3379,1.3356,0.2554,1.2067,1.1824,0.7441,0,0.334
825048,1.3315,0.8332,1.3036,1.5121,1.1953,1.2923,1.3139,1.2095,1.2386,1.4563,1.2317,1.5154,1.1747,1.2348,1.4236,1.4463,1.2786,1.2068,1.2845,1.5488,1.435,1.1258,1.461,1.3291,0.9014,1.2266,1.2297,1.3585,1.3017,1.2844,1.1965,1.0939,1.6946,1.2508,1.4511,1.3136,1.2367,1.3249,1.0718,1.3211,1.4116,1.3623,1.3374,1.4509,1.2433,1.28,1.2329,1.5376,1.1747,1.4153,1.1046,1.1542,1.1976,1.3875,1.3778,1.3019,1.2897,1.304,1.2277,1.2011,1.3302,1.3353,0.2663,1.216,1.2306,0.7132,0,0.365
826353,1.3408,0.8176,1.3016,1.5201,1.1906,1.2946,1.3109,1.2061,1.1789,1.478,1.2394,1.4759,1.1688,1.2457,1.4383,1.451,1.2624,1.2049,1.3061,1.5407,1.4422,1.1044,1.4534,1.3293,0.9089,1.2322,1.2276,1.3538,1.3059,1.2736,1.1912,1.0191,1.6989,1.2499,1.4647,1.2884,1.2352,1.3124,1.0704,1.3416,1.4035,1.3863,1.3245,1.4464,1.2475,1.268,1.2401,1.504,1.1609,1.417,1.0994,1.1539,1.2004,1.3844,1.3799,1.2821,1.2901,1.2994,1.2,1.1992,1.3366,1.3379,0.2545,1.2106,1.202,0.7724,0,0.3473
826454,1.3453,0.8275,1.3125,1.5028,1.1705,1.2905,1.305,1.2172,1.1768,1.4713,1.2529,1.4811,1.1615,1.2377,1.4181,1.4547,1.2877,1.1876,1.2923,1.5669,1.4409,1.108,1.4546,1.3212,0.9125,1.235,1.2337,1.366,1.3153,1.2803,1.1842,1.0516,1.6973,1.2447,1.4894,1.2976,1.2439,1.3142,1.0821,1.321,1.414,1.3856,1.3295,1.4557,1.1796,1.2799,1.2412,1.5173,1.1672,1.3982,1.1006,1.1889,1.1728,1.3942,1.3885,1.3006,1.2926,1.3068,1.1981,1.2129,1.3391,1.3381,0.2453,1.2224,1.212,0.6991,0,0.4735
833148,1.3371,0.8278,1.3057,1.5089,1.2046,1.2898,1.3049,1.2213,1.1861,1.4624,1.2568,1.4831,1.1628,1.2386,1.3786,1.4591,1.2747,1.1988,1.2896,1.5605,1.4457,1.0896,1.4585,1.3423,0.9159,1.2313,1.2382,1.3691,1.3091,1.2813,1.1133,1.1332,1.6291,1.2458,1.487,1.2926,1.2424,1.324,1.0798,1.3266,1.4067,1.3911,1.3376,1.4605,1.2593,1.2762,1.2361,1.4783,1.1845,1.4236,1.1133,1.1977,1.1985,1.3861,1.375,1.3115,1.2953,1.3044,1.2083,1.2058,1.3357,1.3443,0.2588,1.2226,1.184,0.7703,0,0.3255
833249,1.3409,0.8022,1.3062,1.5033,1.1966,1.2936,1.3015,1.2306,1.2038,1.4536,1.2356,1.4773,1.1688,1.2243,1.3935,1.4474,1.266,1.2003,1.2948,1.5742,1.4486,1.12,1.4543,1.3276,0.9099,1.2319,1.2316,1.3658,1.3188,1.2735,1.1575,1.0466,1.6406,1.2541,1.5128,1.3057,1.2245,1.3062,1.0979,1.3317,1.4073,1.388,1.329,1.4536,1.2605,1.2652,1.2268,1.473,1.1829,1.4033,1.1033,1.1589,1.1945,1.4038,1.3893,1.2968,1.2916,1.2957,1.1821,1.2112,1.3334,1.3291,0.2588,1.2133,1.2362,0.742,0,0.3285
835657,1.3488,0.8092,1.3024,1.5032,1.1482,1.2946,1.3056,1.2128,1.1713,1.4616,1.2369,1.4746,1.171,1.2394,1.3964,1.4892,1.2642,1.2031,1.2822,1.5743,1.4153,1.0819,1.4733,1.3268,0.9093,1.224,1.2293,1.3579,1.2989,1.2909,1.1528,1.0314,1.6476,1.238,1.4678,1.285,1.2388,1.3067,1.0755,1.319,1.4018,1.4027,1.2965,1.4501,1.2376,1.2752,1.2046,1.4808,1.1872,1.4073,1.1039,1.1774,1.1895,1.3845,1.3918,1.3197,1.2937,1.307,1.2156,1.1973,1.3318,1.337,0.2522,1.2045,1.2211,0.7477,0,0.3553
837560,1.3494,0.8117,1.2933,1.5235,1.1819,1.295,1.3011,1.213,1.1656,1.4596,1.2435,1.4835,1.1522,1.2288,1.4006,1.4616,1.2608,1.1783,1.3042,1.5393,1.4483,1.0817,1.4465,1.3274,0.8845,1.2239,1.2372,1.36,1.3114,1.2762,1.1262,1.0667,1.6816,1.2228,1.4751,1.2908,1.2341,1.3081,1.0811,1.3136,1.4072,1.3954,1.324,1.4562,1.2544,1.2641,1.2181,1.4892,1.1643,1.4284,1.0957,1.1433,1.2142,1.4111,1.3881,1.3131,1.2856,1.2903,1.1784,1.2056,1.3213,1.3345,0.2519,1.2071,1.1902,0.7362,0,0.3446
837964,1.3601,0.82,1.299,1.541,1.2047,1.3057,1.3075,1.2121,1.2119,1.4667,1.2193,1.4934,1.3016,1.2437,1.4094,1.4497,1.2588,1.1838,1.2968,1.5284,1.4416,1.1042,1.4597,1.3234,0.8835,1.2376,1.231,1.3578,1.3251,1.2759,1.1759,1.0529,1.7125,1.2272,1.4524,1.3172,1.2309,1.3035,1.1169,1.3221,1.401,1.3577,1.328,1.4546,1.2593,1.2927,1.2278,1.4991,1.1729,1.4176,1.0964,1.21,1.1914,1.4141,1.3795,1.3042,1.2938,1.2919,1.1909,1.2069,1.3308,1.3413,0.2586,1.2238,1.2611,0.7717,0,0.3386
